Útvar městské části (okres) PČR;Základní útvar PČR, kde došlo k činu;Stadium TČ, 1-příparava, 2-pokus, 3-dokonaný;Druh TČ, 11-zločin, 18-přečin;Takticko-statistická klasifikace činu;Spácháno na ulici-1, ne-2;Čin spáchán na : viz číselník;Použití zbraně : viz číselník;Druh použité zbraně : viz číselník;Datum spáchání činu, či zahájení konání;Datum ukončení konání činu (pokud jiné datum);Předmět zájmu pachatele č. 1;Předmět zájmu pachatele nebo vztah pachatele k oběti - text;Předmět zájmu pachatele č. 2;Předmět zájmu pachatele nebo vztah pachatele k oběti - text;Předmět zájmu pachatele č. 3;Předmět zájmu pachatele nebo vztah pachatele k oběti - text;Celková způsobená škoda v Kč;Hlavní kvalifikace činu - paragraf TZ;První odstavec ;Druhý odstavec;Souběhový paragraf;Odstavec souběhu;Druhý souběhový paragraf;Odstavec souběhu;Datum zahájení trestního řízení;Datum ukončení trestního řízení;Způsob ukončení trestního řízení;"Způsob ukončení trestního řízení - text (kde je kód ""0"" tam ještě řízení nemusí být ukončeno"
Brno - město;OOP BRNO - STŘED;2;11;151;1;6;0;0;19.02.2016;19.02.2016;620;bez vztahu;0;nic;0;nic;0;145;1;;358;1;358;2a;19.02.2016;17.08.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;2;11;151;1;6;3;8;09.02.2016;02.01.1900;620;bez vztahu;0;nic;0;nic;0;145;1;;175;1;175;2c;02.02.2016;11.02.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;2;23;151;1;6;3;5;31.07.2016;31.07.2016;620;bez vztahu;0;nic;0;nic;0;146;1;;358;1;;;07.08.2016;02.01.1900;0;nic
Brno - město;OOP BRNO - STŘED;3;18;151;1;6;0;0;13.12.2015;02.01.1900;620;bez vztahu;0;nic;0;nic;0;146;1;;358;1;;;12.01.2016;13.05.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;2;18;151;2;6;0;0;20.11.2016;02.01.1900;620;bez vztahu;0;nic;0;nic;150;146;1;;358;1;358;2a;19.12.2016;05.01.2017;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;2;11;151;2;6;0;0;27.11.2016;27.11.2016;620;bez vztahu;0;nic;0;nic;0;145;1;;358;1;;;28.11.2016;29.11.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;2;11;151;1;6;0;0;22.09.2016;22.09.2016;620;bez vztahu;0;nic;0;nic;0;145;1;;358;1;;;23.09.2016;02.01.1900;0;nic
Brno - město;OOP BRNO - STŘED;2;18;151;1;6;0;0;20.02.2016;20.02.2016;620;bez vztahu;0;nic;0;nic;1000;146;1;;358;1;;;24.02.2016;31.05.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;2;18;151;1;1;0;0;01.08.2016;01.08.2016;626;bývalá manželka/bývalá registrovaná partnerka;620;bez vztahu;0;nic;0;146;1;;358;1;;;03.08.2016;02.01.1900;0;nic
Brno - město;OOP BRNO - STŘED;2;11;151;1;6;3;5;25.03.2016;25.03.2016;620;bez vztahu;0;nic;0;nic;0;145;1;;;;;;26.03.2016;27.03.2016;1;zjištění pachatele
